year,cpi,income <=24,income 25-34,income 35-44,income 45-54,income 55-64,income 65-74,income >=75,house_price,%homeown <=24,%homeown 25-34,%homeown 35-44,%homeown 45-54,%homeown 55-64,%homeown 65-74,%homeown >=75,medical <=24,medical 25-34,medical 35-44,medical 45-54,medical 55-64,medical 65-74,medical >=75,tuition_cost,adj_income <=24,adj_income 25-34,adj_income 35-44,adj_income 45-54,adj_income 55-64,adj_income 65-74,adj_income >=75,adj_house_price,adj_medical <=24,adj_medical 25-34,adj_medical 35-44,adj_medical 45-54,adj_medical 55-64,adj_medical 65-74,adj_medical >=75,apcp <=24,h_pti <=24,apcp 25-34,h_pti 25-34,apcp 35-44,h_pti 35-44,apcp 45-54,h_pti 45-54,apcp 55-64,h_pti 55-64,apcp 65-74,h_pti 65-74,apcp >=75,h_pti >=75,RANK_adj_income <=24,RANK_apcp <=24,RANK_h_pti <=24,RANK_adj_income 25-34,RANK_apcp 25-34,RANK_h_pti 25-34,RANK_adj_income 35-44,RANK_apcp 35-44,RANK_h_pti 35-44,RANK_adj_income 45-54,RANK_apcp 45-54,RANK_h_pti 45-54,RANK_adj_income 55-64,RANK_apcp 55-64,RANK_h_pti 55-64,RANK_adj_income 65-74,RANK_apcp 65-74,RANK_h_pti 65-74,RANK_adj_income >=75,RANK_apcp >=75,RANK_h_pti >=75,COMBINED <=24,INDEX <=24,COMBINED 25-34,INDEX 25-34,COMBINED 35-44,INDEX 35-44,COMBINED 45-54,INDEX 45-54,COMBINED 55-64,INDEX 55-64,COMBINED 65-74,INDEX 65-74,COMBINED >=75,INDEX >=75
1990,130.658,12101.0,28967.0,35431.0,36868.0,24114.0,5439.0,1133.0,122300.0,8.0,44.0,67.0,75.0,80.0,82.0,73.0,190.0,391.0,646.0,664.0,654.0,656.0,674.0,10645,27101.338769918413,64874.34758682974,79351.08949318067,82569.38746957706,54005.593182200864,12181.15705888656,2537.4611045630577,273902.46521452954,425.52304489583497,875.6816344961657,1446.7783526458388,1487.0910621622863,1464.6951124309267,1469.1743023771985,1509.487011893646,39.27850240304585,10.10660276010247,16.408642854947278,4.222045776228121,13.415064705462951,3.4517795151138833,12.892187197007102,3.317239882825214,19.710921356027942,5.071742556191424,87.38907107542889,22.485751057179627,419.51381957569095,107.94351279788174,28.0,1.0,21.0,28.0,1.0,16.0,28.0,1.0,20.0,31.0,1.0,19.0,32.0,2.0,29.0,32.0,26.0,32.0,32.0,32.0,32.0,50.0,0.5,45.0,0.5540540540540541,49.0,0.6458333333333333,51.0,0.6176470588235294,63.0,0.2807017543859649,90.0,0.1097560975609756,96.0,0.03157894736842104
1991,136.167,12083.0,30274.0,36146.0,39636.0,27400.0,6056.0,981.0,119975.0,10.0,46.0,65.0,77.0,79.0,80.0,74.0,131.0,417.0,630.0,706.0,672.0,671.0,455.0,11142,25966.19990893535,65058.407352735965,77677.25415115262,85177.21588931237,58882.221096153975,13014.260253952865,2108.155434136024,257824.6159128129,281.517188452415,896.1272334706646,1353.861287977263,1517.1842370030915,1444.1187071757472,1441.9697210043546,977.7887079835788,42.90962882160464,9.929239427294545,17.12614933776339,3.9629715267226007,14.343967383706326,3.319177779007359,13.08096288857223,3.0269199717428603,18.922519892388646,4.3786496350364965,85.61377890545721,19.810931307793922,528.5189042318541,122.2986748216106,31.0,5.0,19.0,27.0,2.0,6.0,31.0,2.0,12.0,28.0,2.0,5.0,26.0,1.0,9.0,29.0,25.0,29.0,33.0,33.0,33.0,55.0,0.43243243243243246,35.0,0.6891891891891893,45.0,0.7291666666666667,35.0,0.8529411764705882,36.0,0.7543859649122807,83.0,0.19512195121951215,99.0,0.0
1992,140.308,12998.0,29558.0,36950.0,37954.0,26044.0,5937.0,1754.0,121375.0,11.0,42.0,63.0,74.0,79.0,79.0,74.0,159.0,406.0,648.0,585.0,685.0,576.0,514.0,11309,27108.131810017956,61645.034623827574,77061.50718419476,79155.41119537018,54316.37058471362,12381.980193574136,3658.0753342646176,253135.0591199361,331.6043204949112,846.7380762322889,1351.4440231490719,1220.053632009579,1428.6098084214725,1201.2835761325084,1071.978746757134,41.718109087180615,9.337975073088169,18.345354283617755,4.106333310778807,14.675290444253683,3.284844384303112,14.287083888790999,3.197950150181799,20.820610578834803,4.6603824297342955,91.33434089863123,20.44382684857672,309.1516430531206,69.19897377423032,27.0,3.0,8.0,31.0,5.0,13.0,32.0,4.0,8.0,33.0,8.0,12.0,30.0,5.0,17.0,31.0,30.0,31.0,25.0,21.0,23.0,38.0,0.6621621621621622,49.0,0.5,44.0,0.75,53.0,0.5882352941176471,52.0,0.4736842105263158,92.0,0.08536585365853655,69.0,0.3157894736842105
1993,144.475,13979.0,29568.0,39449.0,41720.0,26745.0,6473.0,1407.0,126500.0,10.0,42.0,65.0,76.0,82.0,81.0,77.0,140.0,424.0,697.0,631.0,655.0,555.0,783.0,11671,28313.195770894617,59887.30041875757,79900.36912268559,84500.07350752725,54169.570133241046,13110.474012804983,2849.750801176674,256214.26890465477,283.55729364942033,858.7735179096729,1411.7102405260425,1278.0332306627445,1326.6430524312163,1124.1021283959162,1585.8954351964007,41.22106206038934,9.049288218041347,19.48827200156191,4.278273809523809,14.606941279682188,3.206671905498238,13.81182230446267,3.032118887823586,21.545306657026828,4.729856047859412,89.02042739721652,19.5427158968021,409.5445817641667,89.90760483297797,25.0,2.0,5.0,33.0,12.0,18.0,26.0,3.0,3.0,29.0,3.0,6.0,31.0,11.0,21.0,28.0,27.0,26.0,31.0,30.0,31.0,32.0,0.7432432432432432,63.0,0.31081081081081086,32.0,1.0,38.0,0.8088235294117647,63.0,0.2807017543859649,81.0,0.2195121951219512,92.0,0.0736842105263158
1994,148.225,13637.0,30810.0,40400.0,42218.0,29972.0,5792.0,1885.0,130425.0,12.0,41.0,66.0,77.0,79.0,81.0,76.0,218.0,407.0,627.0,673.0,791.0,539.0,639.0,11885,26921.72425029516,60824.105312868945,79756.37308146399,83345.40987012986,59169.75282172373,11434.379031877213,3721.3060212514756,257480.8158205431,430.36854781582053,803.4862337662338,1237.803116883117,1328.614828807556,1561.566611570248,1064.0763636363636,1261.4931286894923,44.14650372874871,9.56405367749505,19.539950384581182,4.233203505355404,14.901630478934313,3.228341584158416,14.259933472664416,3.0893220901037473,20.086276236118586,4.351561457360203,103.94093082682083,22.518128453038674,319.37712007901655,69.19098143236074,29.0,9.0,13.0,32.0,13.0,17.0,27.0,5.0,4.0,30.0,7.0,8.0,25.0,3.0,8.0,33.0,33.0,33.0,24.0,23.0,22.0,51.0,0.4864864864864865,62.0,0.32432432432432434,36.0,0.9166666666666666,45.0,0.7058823529411764,36.0,0.7543859649122807,99.0,0.0,69.0,0.3157894736842105
1995,152.383,14567.0,32656.0,39422.0,44975.0,27438.0,6772.0,1699.0,133475.0,12.0,44.0,63.0,76.0,81.0,82.0,76.0,158.0,380.0,595.0,665.0,587.0,473.0,487.0,12135,27973.00293996049,62709.30074877118,75702.04722311543,86365.47039367908,52689.17791354678,13004.268271395102,3262.5888648996274,256311.97689374795,303.40732233910603,729.7138132206347,1142.578207542836,1276.9991731361108,1127.2158114750332,908.3016675088428,935.1858606274977,43.3811129468145,9.16283380243015,19.35119648138923,4.087304017638412,16.029949578820123,3.385799807214246,14.050754247832057,2.967759866592551,23.03129500314333,4.864603834098695,93.31551569643337,19.709834613112818,371.943891875366,78.56091818716892,26.0,6.0,6.0,30.0,11.0,12.0,33.0,13.0,16.0,26.0,5.0,2.0,33.0,17.0,25.0,30.0,31.0,28.0,28.0,28.0,28.0,38.0,0.6621621621621622,53.0,0.44594594594594594,62.0,0.375,33.0,0.8823529411764706,75.0,0.07017543859649122,89.0,0.12195121951219512,84.0,0.1578947368421053
1996,156.858,12980.0,34755.0,42502.0,44092.0,30070.0,7267.0,1726.0,140250.0,10.0,45.0,64.0,76.0,79.0,82.0,77.0,121.0,353.0,596.0,625.0,725.0,563.0,717.0,12315,24214.38868275765,64835.98448915579,79288.13157123003,82254.30090910249,56096.04527661961,13556.699734791977,3219.879419602443,261638.52178403395,225.72735212740184,658.5269033138252,1111.847122875467,1165.9470667737698,1352.498597457573,1050.285117749812,1337.5744750028687,50.85819081102447,10.805084745762713,18.994081908418863,4.03539059128183,15.531958889631017,3.2998447131899673,14.971861487959211,3.1808491336296836,21.953419245995928,4.664117060192884,90.84069309578885,19.299573414063573,382.467738544089,81.25724217844727,32.0,22.0,27.0,29.0,10.0,9.0,29.0,10.0,11.0,32.0,10.0,11.0,28.0,13.0,18.0,26.0,29.0,25.0,29.0,29.0,29.0,81.0,0.08108108108108103,48.0,0.5135135135135135,50.0,0.625,53.0,0.5882352941176471,59.0,0.3508771929824561,80.0,0.23170731707317072,87.0,0.12631578947368416
1997,160.525,13098.0,37455.0,43458.0,47985.0,30684.0,8494.0,1936.0,145000.0,9.0,44.0,64.0,77.0,79.0,81.0,77.0,128.0,422.0,547.0,658.0,664.0,636.0,475.0,12624,23876.342364117736,68276.7142501168,79219.5821087058,87471.84977417847,55933.859299174575,15483.71140943778,3529.134128640398,264320.4796760629,233.3311820588693,769.2637408503348,997.1262233296993,1199.4681077713751,1210.4055069303845,1159.3643108550068,865.8774334215854,52.87241993552505,11.070392426324629,18.489466194513607,3.871312241356294,15.935453916781887,3.3365548345529015,14.432071612285238,3.0217776388454727,22.56951363301744,4.725589883978621,81.53084015958409,17.07087355780551,357.7081385927207,74.89669421487604,33.0,23.0,31.0,26.0,6.0,2.0,30.0,12.0,14.0,24.0,9.0,4.0,29.0,15.0,20.0,24.0,23.0,23.0,27.0,26.0,26.0,87.0,0.0,34.0,0.7027027027027026,56.0,0.5,37.0,0.8235294117647058,64.0,0.26315789473684215,70.0,0.35365853658536583,79.0,0.21052631578947367
1998,163.008,14553.0,38548.0,45563.0,51425.0,31947.0,7545.0,1719.0,151925.0,10.0,43.0,69.0,77.0,78.0,83.0,76.0,136.0,373.0,557.0,738.0,642.0,592.0,601.0,12944,26124.56697217314,69198.77740969766,81791.63368055555,92314.701885797,57349.10609908715,13544.276630594815,3085.8332045053,272725.54368497245,244.1380545740086,669.584517324303,999.8889441009029,1324.8079726148408,1152.4752282096583,1062.7185904986256,1078.8747852866115,49.547232739924226,10.439428296571153,18.705532791950745,3.941190204420463,15.825579484759938,3.334394135592476,14.021601906934706,2.954302382109869,22.570534887911766,4.7555326008701915,95.56804215561526,20.135851557322727,419.4653159186255,88.37987201861547,30.0,18.0,25.0,23.0,9.0,4.0,25.0,11.0,13.0,20.0,4.0,1.0,27.0,16.0,22.0,27.0,32.0,30.0,30.0,31.0,30.0,73.0,0.18918918918918914,36.0,0.6756756756756757,49.0,0.6458333333333333,25.0,1.0,65.0,0.24561403508771928,89.0,0.12195121951219512,91.0,0.08421052631578951
1999,166.583,16210.0,39372.0,48616.0,52224.0,34521.0,8169.0,2295.0,160125.0,13.0,45.0,67.0,77.0,80.0,82.0,77.0,184.0,351.0,531.0,754.0,751.0,574.0,632.0,12936,28474.612715583222,69161.16297581386,85399.24563730993,91737.08664149402,60639.858454944384,14349.72925808756,4031.4149403000306,281276.8267170119,323.21583835085215,616.569343810593,932.7587508929482,1324.482294111644,1319.2124706602715,1008.2928870292887,1110.1761404224922,45.42994185455787,9.878161628624305,18.704138917565352,4.066976531545261,15.147674787361836,3.2936687510284677,14.101167230820755,3.066119025735294,21.332503619894645,4.638480924654558,90.14804228943359,19.60154241645244,320.87989431912115,69.77124183006535,24.0,11.0,17.0,24.0,8.0,11.0,24.0,7.0,9.0,21.0,6.0,7.0,23.0,8.0,16.0,25.0,28.0,27.0,23.0,24.0,24.0,52.0,0.472972972972973,43.0,0.5810810810810811,40.0,0.8333333333333334,34.0,0.8676470588235294,47.0,0.5614035087719298,80.0,0.23170731707317072,71.0,0.2947368421052632
2000,172.192,16908.0,42770.0,50870.0,50826.0,35544.0,9174.0,2147.0,167550.0,12.0,46.0,69.0,75.0,81.0,82.0,77.0,178.0,367.0,555.0,699.0,721.0,686.0,658.0,12984,28733.25048782754,72682.82016586135,86447.86209580002,86373.08902852629,60403.04325404199,15590.184526574985,3648.5858053800407,284732.4414026203,302.49104488013376,623.6753565787028,943.1602803846868,1187.8721369169298,1225.2586705538004,1165.7800943133245,1118.197233320944,45.188065323484714,9.909510290986514,17.86391883304839,3.917465513210194,15.019457607420478,3.293689797523098,15.032459931717618,3.2965411403612324,21.49560568561444,4.713875759621877,83.28317075315888,18.263570961412686,355.86390707474595,78.03912435957149,23.0,10.0,18.0,19.0,4.0,3.0,23.0,6.0,10.0,25.0,11.0,18.0,24.0,10.0,19.0,23.0,24.0,24.0,26.0,25.0,27.0,51.0,0.4864864864864865,26.0,0.8108108108108107,39.0,0.8541666666666666,54.0,0.5735294117647058,53.0,0.45614035087719296,71.0,0.3414634146341463,78.0,0.2210526315789474
2001,177.042,17650.0,46301.0,53591.0,53952.0,38830.0,10880.0,2702.0,173100.0,13.0,48.0,68.0,77.0,81.0,82.0,78.0,135.0,354.0,573.0,676.0,769.0,866.0,507.0,13491,29172.516408535826,76527.85735023327,88577.01568554353,89173.68868404107,64179.536098778815,17982.831644468544,4465.956902881802,286105.52919646184,223.1325617650049,585.1031619615684,947.0737621581319,1117.3156426158764,1271.029185165102,1431.3540628777353,837.9867319619074,46.245582009691006,9.807365439093484,17.62887459171608,3.738580160255718,15.230813428953486,3.230019966039074,15.12890203275219,3.208407473309608,21.020719095314096,4.457893381406129,75.02155537417704,15.909926470588234,302.0853154963161,64.06365655070317,22.0,12.0,15.0,8.0,3.0,1.0,22.0,8.0,5.0,23.0,13.0,13.0,22.0,6.0,10.0,22.0,20.0,22.0,21.0,20.0,21.0,49.0,0.5135135135135135,12.0,1.0,35.0,0.9375,49.0,0.6470588235294117,38.0,0.7192982456140351,64.0,0.426829268292683,62.0,0.3894736842105263
2002,179.867,18040.0,46183.0,55638.0,57139.0,40391.0,13134.0,2925.0,186025.0,15.0,49.0,68.0,76.0,81.0,84.0,77.0,196.0,391.0,556.0,768.0,863.0,635.0,527.0,13990,29348.812400273535,75133.9358692812,90516.03239059972,92957.97071725219,65711.07991460357,21367.36707678451,4758.607332084262,302639.29194905126,318.86736310718476,636.1078519128022,904.5421116714016,1249.4394636036627,1403.9925222525533,1033.065181495216,857.3627569259509,47.668027616237076,10.311807095343681,18.62008137619723,4.0279973150293396,15.455825482528432,3.3434882634170893,15.049812180768246,3.2556572568648385,21.290169052435363,4.605605209081231,65.47367277272095,14.163621135982947,293.9935788707408,63.598290598290596,21.0,13.0,23.0,13.0,7.0,8.0,19.0,9.0,15.0,19.0,12.0,17.0,21.0,7.0,14.0,20.0,4.0,17.0,20.0,18.0,20.0,57.0,0.4054054054054054,28.0,0.7837837837837838,43.0,0.7708333333333334,48.0,0.6617647058823529,42.0,0.6491228070175439,41.0,0.7073170731707317,58.0,0.43157894736842106
2003,184.0,18525.0,47430.0,55795.0,59835.0,45121.0,12359.0,2575.0,192125.0,15.0,48.0,69.0,76.0,82.0,83.0,78.0,129.0,394.0,598.0,718.0,742.0,681.0,695.0,14891,29460.891440217387,75429.42407608694,88732.54725543478,95157.48660326086,71757.3485923913,19654.907277173912,4095.1036684782603,305542.44361413043,205.1527663043478,626.5906195652174,951.0182499999999,1141.8580326086956,1180.0259891304347,1083.0157663043478,1105.2804076086954,50.544974276209885,10.371120107962215,19.741632900417212,4.0507063040269875,16.781891719092894,3.443408907608209,15.64879499401334,3.2109133450321723,20.75188157325388,4.257995168546797,75.76225005799726,15.545351565660653,363.62937804535466,74.6116504854369,20.0,21.0,24.0,11.0,14.0,10.0,21.0,17.0,19.0,14.0,14.0,15.0,14.0,4.0,7.0,21.0,21.0,21.0,22.0,27.0,25.0,65.0,0.29729729729729726,35.0,0.6891891891891893,57.0,0.47916666666666663,43.0,0.7352941176470589,25.0,0.9473684210526316,63.0,0.4390243902439024,74.0,0.26315789473684215
2004,188.908,19954.0,48542.0,59294.0,61021.0,45535.0,16264.0,4363.0,218150.0,15.0,49.0,69.0,77.0,83.0,83.0,78.0,184.0,403.0,654.0,809.0,892.0,631.0,723.0,15422,30909.010915366212,75192.20245833951,91847.19320515807,94522.33913333475,70534.31953649396,25193.151925805156,6758.34492451352,337917.24622567603,285.0184428399009,624.2523503504352,1013.0546827026914,1253.1517405297818,1381.719842462998,977.4273773477037,1119.9365987676542,49.89483501179604,10.932645083692494,20.510105430871786,4.494046392814471,16.790932266761867,3.6791243633419914,16.315719798518185,3.574998770914931,21.864533607672737,4.790820248160756,61.215047824974064,13.413059517953764,228.19196374636218,50.00000000000001,18.0,20.0,30.0,12.0,15.0,21.0,16.0,18.0,26.0,15.0,16.0,26.0,18.0,12.0,23.0,17.0,1.0,15.0,18.0,6.0,16.0,68.0,0.2567567567567568,48.0,0.5135135135135135,60.0,0.41666666666666663,57.0,0.5294117647058824,53.0,0.45614035087719296,33.0,0.8048780487804879,40.0,0.6210526315789473
