year,cpi,income <=24,income 25-34,income 35-44,income 45-54,income 55-64,income 65-74,income >=75,house_price,%homeown <=24,%homeown 25-34,%homeown 35-44,%homeown 45-54,%homeown 55-64,%homeown 65-74,%homeown >=75,medical <=24,medical 25-34,medical 35-44,medical 45-54,medical 55-64,medical 65-74,medical >=75,tuition_cost,adj_income <=24,adj_income 25-34,adj_income 35-44,adj_income 45-54,adj_income 55-64,adj_income 65-74,adj_income >=75,adj_house_price,adj_medical <=24,adj_medical 25-34,adj_medical 35-44,adj_medical 45-54,adj_medical 55-64,adj_medical 65-74,adj_medical >=75,apcp <=24,h_pti <=24,apcp 25-34,h_pti 25-34,apcp 35-44,h_pti 35-44,apcp 45-54,h_pti 45-54,apcp 55-64,h_pti 55-64,apcp 65-74,h_pti 65-74,apcp >=75,h_pti >=75,RANK_adj_income <=24,RANK_apcp <=24,RANK_h_pti <=24,RANK_adj_income 25-34,RANK_apcp 25-34,RANK_h_pti 25-34,RANK_adj_income 35-44,RANK_apcp 35-44,RANK_h_pti 35-44,RANK_adj_income 45-54,RANK_apcp 45-54,RANK_h_pti 45-54,RANK_adj_income 55-64,RANK_apcp 55-64,RANK_h_pti 55-64,RANK_adj_income 65-74,RANK_apcp 65-74,RANK_h_pti 65-74,RANK_adj_income >=75,RANK_apcp >=75,RANK_h_pti >=75,COMBINED <=24,INDEX <=24,COMBINED 25-34,INDEX 25-34,COMBINED 35-44,INDEX 35-44,COMBINED 45-54,INDEX 45-54,COMBINED 55-64,INDEX 55-64,COMBINED 65-74,INDEX 65-74,COMBINED >=75,INDEX >=75
2005,195.267,24041.0,50468.0,65224.0,65522.0,46563.0,15947.0,5018.0,236550.0,19.0,48.0,69.0,75.0,82.0,83.0,78.0,197.0,399.0,665.0,771.0,979.0,733.0,805.0,15744,36027.08835082221,75629.76144458613,97742.6400979172,98189.2135486283,69777.85095791916,23897.673887548845,7519.817368014053,354486.40860974975,295.21801942980636,597.9288819923489,996.5481366539149,1155.3964110679224,1467.0986853897484,1098.4508032591273,1206.3477443705285,43.70045074608615,9.839440955035148,20.81720171963734,4.687128477451059,16.107606653787826,3.6267324911075685,16.034347797482635,3.610237782729465,22.563033661633852,5.080213903743315,65.88088896887547,14.833511005204741,209.36678684469055,47.140294938222404,9.0,8.0,16.0,10.0,16.0,25.0,9.0,14.0,24.0,12.0,15.0,27.0,19.0,14.0,32.0,18.0,5.0,19.0,12.0,3.0,12.0,33.0,0.7297297297297297,51.0,0.472972972972973,47.0,0.6875,54.0,0.5735294117647058,65.0,0.24561403508771928,42.0,0.6951219512195121,27.0,0.7578947368421053
2006,201.558,25626.0,52748.0,67470.0,66994.0,48023.0,17551.0,5664.0,243750.0,20.0,50.0,68.0,75.0,80.0,83.0,77.0,193.0,469.0,634.0,798.0,978.0,636.0,692.0,16224,37203.71181496145,76579.30971730221,97952.64325901229,97261.58859484615,69719.57591859414,25480.463047857193,8222.969785371952,353875.15628255886,280.1965340001389,680.8920955754671,920.4383552128916,1158.5328193373618,1419.8560116690976,923.3419462387997,1004.6424949642286,43.60855196570878,9.51182392882229,21.185879136142663,4.621028285432623,16.563105864432387,3.6127167630057806,16.680788617984494,3.638385527062125,23.270365297321145,5.075692897153448,63.672312271281015,13.88809754429947,197.30098034485403,43.03495762711865,7.0,7.0,12.0,7.0,17.0,23.0,8.0,15.0,23.0,13.0,18.0,28.0,20.0,19.0,30.0,15.0,3.0,16.0,5.0,2.0,7.0,26.0,0.8243243243243243,47.0,0.527027027027027,46.0,0.7083333333333333,59.0,0.5,69.0,0.17543859649122806,34.0,0.7926829268292683,14.0,0.8947368421052632
2007,207.344,27685.0,52914.0,69903.0,70023.0,54021.0,18489.0,5180.0,244950.0,16.0,47.0,68.0,75.0,81.0,81.0,77.0,267.0,556.0,651.0,772.0,883.0,1027.0,651.0,16379,39071.36152963191,74676.61274982637,98652.89452793424,98822.24845184814,76238.90269793193,26093.205827031405,7310.444382282583,345693.69718921214,376.81248070838797,784.6731808009877,918.7450372328111,1089.5102438459758,1246.1626234663167,1449.3873321629756,918.7450372328111,41.92073006613319,8.847751489976522,21.933239064914716,4.629209660959293,16.60265527775485,3.5041414531565174,16.574202931621,3.4981363266355343,21.483782452766466,4.534347753651359,62.77112942186691,13.248417978257343,224.04930731291452,47.28764478764479,6.0,4.0,3.0,15.0,18.0,24.0,7.0,16.0,21.0,9.0,17.0,23.0,8.0,9.0,12.0,12.0,2.0,13.0,13.0,5.0,14.0,13.0,1.0,57.0,0.3918918918918919,44.0,0.75,49.0,0.6470588235294117,29.0,0.8771929824561404,27.0,0.8780487804878049,32.0,0.7052631578947368
2008,215.254,25371.0,55684.0,70592.0,72664.0,54256.0,17321.0,5185.0,229550.0,15.0,46.0,67.0,75.0,81.0,81.0,76.0,143.0,472.0,711.0,838.0,1022.0,853.0,728.0,17044,34489.89282893697,75698.04864950244,95964.31021955457,98781.03238035065,73756.79418733217,23546.546596114356,7048.602511451587,312055.2953719791,194.39733059548254,641.6471331543199,966.5489654083083,1139.1955457273732,1389.3291739061758,1159.5868741115148,989.659137577002,49.417375938321584,9.047731662133932,22.515771944026238,4.122369082680843,17.760769562148074,3.251784904805077,17.254324630231707,3.1590608829681823,23.1083796249476,4.2308684753759955,72.38428756602718,13.252699035852434,241.80679747949023,44.271938283510124,10.0,17.0,4.0,9.0,19.0,14.0,10.0,19.0,7.0,10.0,19.0,9.0,10.0,18.0,5.0,19.0,12.0,14.0,15.0,8.0,9.0,31.0,0.7567567567567568,42.0,0.5945945945945945,36.0,0.9166666666666666,38.0,0.8088235294117647,33.0,0.8070175438596492,45.0,0.6585365853658536,32.0,0.7052631578947368
2009,214.565,22749.0,54461.0,69677.0,72345.0,53711.0,18760.0,6048.0,215650.0,14.0,46.0,65.0,74.0,81.0,81.0,77.0,167.0,466.0,650.0,862.0,1054.0,818.0,824.0,17726,31024.79495257847,74273.21455502995,95024.6005499499,98663.18479248713,73250.37415701535,25584.64782233822,8248.184969589634,294100.70910912775,227.75246195791485,635.5248339663972,886.4616782793092,1175.5845641180995,1437.4317060098338,1115.5779274345768,1123.7606506186937,57.134946506799686,9.479537562090641,23.865938893578637,3.9597142909605036,18.654116825971066,3.0949954791394574,17.966174553641387,2.980855622365056,24.19919379797781,4.015006237083652,69.28373657159841,11.495202558635395,214.9078865878284,35.65641534391534,16.0,25.0,11.0,16.0,20.0,5.0,11.0,20.0,1.0,11.0,20.0,3.0,11.0,21.0,2.0,14.0,7.0,2.0,4.0,4.0,1.0,52.0,0.472972972972973,41.0,0.6081081081081081,32.0,1.0,34.0,0.8676470588235294,34.0,0.7894736842105263,23.0,0.926829268292683,9.0,0.9473684210526316
2010,218.076,23173.0,55289.0,68531.0,70394.0,52632.0,18989.0,5626.0,222700.0,14.0,45.0,65.0,73.0,80.0,82.0,80.0,236.0,443.0,681.0,879.0,943.0,849.0,735.0,18389,31094.23518864983,74188.45938571874,91956.97715933895,94456.80714062987,70623.21608980355,25480.016916120985,7549.137667602121,298825.6236357967,316.6719675709386,594.4308543810415,913.7864826941067,1179.4688961646398,1265.346039912691,1139.213985032741,986.2453227315248,59.13957969518556,9.61032235791654,24.7868740667499,4.027925988894717,19.99739505153194,3.249624257635231,19.468157517352832,3.1636218995937155,26.03817981981561,4.231266149870802,72.1702817566241,11.727842435094002,243.59073591833186,39.584073942410235,15.0,27.0,14.0,17.0,21.0,7.0,15.0,22.0,6.0,16.0,24.0,10.0,17.0,25.0,6.0,16.0,11.0,5.0,11.0,10.0,3.0,56.0,0.41891891891891897,45.0,0.5540540540540541,43.0,0.7708333333333334,50.0,0.6323529411764706,48.0,0.543859649122807,32.0,0.8170731707317074,24.0,0.7894736842105263
2011,224.923,23818.0,53600.0,70471.0,70076.0,55381.0,19670.0,5321.0,224900.0,15.0,43.0,62.0,72.0,79.0,83.0,79.0,254.0,546.0,694.0,942.0,1013.0,894.0,656.0,18909,30986.81316717276,69732.6889646679,91681.57320949835,91167.68492328485,72049.73969313942,25590.33567042943,6922.530559346976,292591.0773909293,330.4496827803292,710.3367196774007,902.8822041320807,1225.525988893977,1317.8957821121005,1163.078804746513,853.4448500153385,61.02273214733833,9.442438491896885,27.11640735606911,4.195895522388059,20.62464608541534,3.1913836897447174,20.7409017964111,3.209372681089103,26.24436962650195,4.060959534858525,73.89117612024934,11.433655312658871,273.1515569038347,42.26649126104115,17.0,28.0,9.0,20.0,25.0,15.0,17.0,25.0,2.0,22.0,30.0,14.0,13.0,26.0,3.0,13.0,18.0,1.0,16.0,15.0,6.0,54.0,0.44594594594594594,60.0,0.3513513513513513,44.0,0.75,66.0,0.3970588235294118,42.0,0.6491228070175439,32.0,0.8170731707317074,37.0,0.6526315789473685
2012,229.586,32013.0,54394.0,71631.0,73086.0,59272.0,21251.0,5424.0,244400.0,15.0,40.0,62.0,72.0,79.0,80.0,79.0,406.0,525.0,720.0,892.0,1210.0,974.0,887.0,19458,40802.47085188121,69328.38532837367,91297.96612598328,93152.45008842001,75545.68620037807,27085.662326971153,6913.210317702298,311502.32331239706,517.4711262881882,669.1436977864503,917.6827855357033,1136.907006524788,1542.2169034697235,1241.4208793219098,1130.5342094030123,47.68828846330242,7.634398525598975,28.06642605022062,4.493142626024929,21.312632499556063,3.4119305887115914,20.888339470975296,3.344005691924582,25.756599719525248,4.123363476852476,71.83874540377867,11.50063526422286,281.4611317433076,45.05899705014749,4.0,14.0,1.0,22.0,29.0,20.0,18.0,28.0,17.0,18.0,31.0,20.0,9.0,24.0,4.0,11.0,10.0,3.0,17.0,17.0,10.0,19.0,0.9189189189189189,71.0,0.20270270270270274,63.0,0.35416666666666663,69.0,0.3529411764705882,37.0,0.736842105263158,24.0,0.9146341463414634,44.0,0.5789473684210527
2013,232.952,24512.0,55024.0,70874.0,68738.0,58031.0,23076.0,6138.0,266225.0,14.0,40.0,62.0,69.0,79.0,82.0,79.0,272.0,580.0,786.0,918.0,1053.0,876.0,706.0,19933,30790.574676328168,69118.00673100038,89027.87163879254,86344.75041210206,72895.22842044712,28986.753477111164,7710.205098045949,334416.6425916068,341.670867818263,728.5628799065902,987.3283165630687,1153.1391788866374,1322.7184698993783,1100.3811772382292,886.836884851815,64.73734319523604,10.8610068537859,28.839083970660536,4.838343268391974,22.389617580517896,3.756314022067331,23.085364083936476,3.873039657831185,27.34472534337898,4.5876341955161895,68.76589341314029,11.536878141792338,258.5274937115714,43.373248615184096,19.0,32.0,29.0,25.0,32.0,27.0,20.0,32.0,28.0,27.0,33.0,33.0,12.0,30.0,13.0,7.0,6.0,4.0,9.0,11.0,8.0,80.0,0.09459459459459463,84.0,0.027027027027026973,80.0,0.0,93.0,0.0,55.0,0.42105263157894735,17.0,1.0,28.0,0.7473684210526316
2014,236.715,26389.0,56263.0,75146.0,76008.0,57213.0,22448.0,5294.0,285775.0,11.0,39.0,58.0,70.0,77.0,81.0,80.0,181.0,480.0,861.0,888.0,912.0,1020.0,867.0,20498,32621.403666856768,69550.87477768624,92893.55413049446,93959.13637919015,70725.24036499587,27749.640740975432,6544.306757070739,353267.71127727436,223.74754874004603,593.3636651669729,1064.3460743932576,1097.7227805588998,1127.3909638172486,1260.8977884798173,1071.7631202078448,62.83604534413673,10.8293228239039,29.471951381661555,5.079270568579706,22.066116634104603,3.802930295691055,21.815866758583628,3.7598015998315972,28.98258089221723,4.994931221925087,73.86762297694335,12.730532786885247,313.2188138621882,53.98092179826219,14.0,30.0,28.0,21.0,33.0,32.0,14.0,30.0,29.0,17.0,32.0,31.0,16.0,32.0,28.0,10.0,17.0,8.0,19.0,22.0,19.0,72.0,0.20270270270270274,86.0,0.0,73.0,0.14583333333333337,80.0,0.19117647058823528,76.0,0.052631578947368474,35.0,0.7804878048780488,60.0,0.41052631578947374
2015,237.002,27528.0,59741.0,76860.0,82476.0,57932.0,22768.0,6226.0,294150.0,14.0,39.0,57.0,70.0,75.0,80.0,77.0,237.0,481.0,732.0,879.0,983.0,918.0,1035.0,21087,33988.197939257894,73760.85923747478,94897.30069788439,101831.24866456822,71527.32792128336,28111.133779461772,7687.101146825764,363180.34088319924,292.61853064531095,593.8798027020869,903.7838161703276,1085.28138581109,1213.6878296385682,1133.4338022463944,1277.8910515523073,62.04212426232686,10.68548387096774,28.588332915306637,4.923754205654408,22.220863865382956,3.827088212334114,20.707788892445485,3.5664920704204857,29.481039782733788,5.077504660636608,75.01298298899043,12.919448348559381,274.3166714894529,47.245422422100866,11.0,29.0,26.0,18.0,31.0,29.0,12.0,31.0,30.0,8.0,29.0,25.0,15.0,33.0,31.0,9.0,19.0,10.0,10.0,16.0,13.0,66.0,0.28378378378378377,78.0,0.10810810810810811,73.0,0.14583333333333337,62.0,0.4558823529411765,79.0,0.0,38.0,0.7439024390243902,39.0,0.631578947368421
2016,240.005,30317.0,61432.0,83032.0,85949.0,62548.0,24627.0,6396.0,305125.0,17.0,37.0,57.0,69.0,76.0,79.0,76.0,210.0,611.0,800.0,929.0,1067.0,878.0,962.0,21290,36963.35850086456,74899.66155705089,101235.00290410616,104791.49321472469,76260.32085998208,30025.94682194121,7798.187187766921,372017.1772463074,256.03804087414846,744.9487760671652,975.3830128538988,1132.66352367659,1300.9170933938876,1070.482856607154,1172.8980729568134,57.597580045390174,10.064485272289476,28.424694527869743,4.966873941919522,21.030275486994096,3.674788033529242,20.316534622114204,3.5500703905804607,27.917532682677205,4.878253501310994,70.90534105802956,12.389856661387908,273.0121692051429,47.70559724828018,8.0,26.0,20.0,14.0,30.0,30.0,5.0,27.0,25.0,6.0,27.0,24.0,7.0,31.0,26.0,2.0,9.0,7.0,8.0,14.0,15.0,54.0,0.44594594594594594,74.0,0.16216216216216217,57.0,0.47916666666666663,57.0,0.5294117647058824,64.0,0.26315789473684215,18.0,0.9878048780487805,37.0,0.6526315789473685
2017,245.121,28150.0,64331.0,78598.0,87299.0,66741.0,24716.0,6016.0,322425.0,13.0,41.0,54.0,69.0,78.0,80.0,79.0,387.0,588.0,832.0,928.0,1196.0,956.0,847.0,21492,33604.9589794428,76797.17996826056,93828.86557251315,104215.96141905425,79674.1942183656,29505.512118504732,7181.791588643975,384905.1118631206,461.9935746019312,701.9437257517715,993.2264963018263,1107.8295535674215,1427.7630884338753,1141.2554452698869,1011.1332239995755,63.95484670327175,11.453818827708702,27.985402600567376,5.011969346038457,22.905531116530952,4.102203618412682,20.62256079333211,3.6933412753868886,26.97485705484035,4.830988447880613,72.8406269095768,13.045193396989804,299.2568043047041,53.59458111702127,12.0,31.0,33.0,6.0,28.0,31.0,13.0,33.0,33.0,7.0,28.0,29.0,6.0,29.0,24.0,4.0,14.0,11.0,14.0,19.0,18.0,76.0,0.14864864864864868,65.0,0.28378378378378377,79.0,0.02083333333333337,64.0,0.42647058823529416,59.0,0.3508771929824561,29.0,0.8536585365853658,51.0,0.5052631578947369
2018,251.1,28632.0,68683.0,86649.0,95295.0,70346.0,25366.0,7003.0,325275.0,13.0,41.0,58.0,68.0,76.0,81.0,79.0,314.0,588.0,946.0,987.0,1144.0,935.0,1087.0,21750,33366.48535244922,80040.17579848666,100976.96945041815,111052.64115890082,81978.16354440461,29560.43124651533,8160.9910911987245,379061.3133213859,365.92191955396254,685.2295818399043,1102.4271843886897,1150.2067980884108,1333.167757865392,1089.608263639984,1266.7424412584626,65.18516940053884,11.360540653813915,27.173853359291638,4.735888065460157,21.539565029904878,3.7539383028078803,19.585306367345904,3.4133480245553285,26.531455523785684,4.623930287436386,73.57808760846125,12.823267365765197,266.51174786180604,46.447950878195066,13.0,33.0,32.0,5.0,26.0,26.0,6.0,29.0,27.0,3.0,25.0,22.0,5.0,27.0,15.0,3.0,16.0,9.0,6.0,12.0,11.0,78.0,0.1216216216216216,57.0,0.3918918918918919,62.0,0.375,50.0,0.6323529411764706,47.0,0.5614035087719298,28.0,0.8658536585365854,29.0,0.736842105263158
2019,255.653,34298.0,70494.0,93121.0,94642.0,80840.0,26233.0,7965.0,320250.0,17.0,41.0,60.0,69.0,75.0,78.0,81.0,328.0,672.0,1033.0,1018.0,1276.0,1012.0,1108.0,21945,39257.56810207586,80687.59128193292,106586.50647948586,108327.4465075708,92529.64620012282,30026.350924886465,9116.756951805768,366558.87179106055,375.4295392582915,769.1727145779631,1182.374128212851,1165.2050944053071,1460.5124758950608,1158.3374808822896,1268.21929725057,55.90004949603487,9.337279141640913,27.19749053274043,4.54293982466593,20.58891010207154,3.4390738931068183,20.258023896525895,3.3838042306798255,23.716723127350367,3.961528946066304,73.08580404890802,12.2079060725041,240.71059605963637,40.207156308851225,5.0,24.0,7.0,4.0,27.0,22.0,2.0,24.0,18.0,5.0,26.0,21.0,1.0,20.0,1.0,1.0,15.0,6.0,3.0,7.0,4.0,36.0,0.6891891891891893,53.0,0.44594594594594594,44.0,0.75,52.0,0.6029411764705883,22.0,1.0,22.0,0.9390243902439024,14.0,0.8947368421052632
2020,258.846,39377.0,74235.0,93376.0,100850.0,73245.0,25066.0,8070.0,328150.0,17.0,43.0,62.0,71.0,74.0,80.0,79.0,219.0,589.0,852.0,1083.0,1077.0,813.0,867.0,22062,44515.02869273622,83921.40475417815,105559.97966358374,114009.20952999078,82802.22659419113,28336.686624479415,9122.997728379034,370967.99313105084,247.57577478500727,665.8544810427821,963.171507382768,1224.3130780464057,1217.5301801070905,919.0826707772187,980.1287522310562,49.56079024969827,8.333544962795541,26.288883109885752,4.420421634000134,20.89996613329302,3.514286326250857,19.35106829610678,3.253842340109073,26.64421104051292,4.480169294832412,77.85666790323023,13.091438602090482,241.82840615394912,40.662949194547714,1.0,19.0,2.0,2.0,24.0,19.0,3.0,26.0,22.0,1.0,23.0,16.0,4.0,28.0,11.0,8.0,22.0,12.0,2.0,9.0,5.0,22.0,0.8783783783783784,45.0,0.5540540540540541,51.0,0.6041666666666667,40.0,0.7794117647058824,43.0,0.631578947368421,42.0,0.6951219512195121,16.0,0.8736842105263158
2021,270.966,40486.0,77909.0,96107.0,102810.0,77656.0,26954.0,7291.0,383000.0,18.0,44.0,60.0,70.0,75.0,79.0,77.0,347.0,766.0,1382.0,1118.0,1177.0,1018.0,1164.0,21119,43721.55106544732,84135.31398404227,103787.65766553735,111026.34651579901,83862.0947867998,29108.10372519061,7873.680502350847,413608.50807850424,374.7314681546762,827.2170161570085,1492.4463659647333,1207.348073189994,1271.0632219540457,1099.356295623805,1257.024290870441,48.30340984103403,9.460060267746876,25.10123157560877,4.915991733946013,20.348276929090535,3.985141560968504,19.021611232604844,3.7253185487793017,25.183010338210877,4.932007829401463,72.55367851985248,14.209393781998962,268.2227199045541,52.53051707584694,2.0,16.0,10.0,1.0,23.0,28.0,4.0,23.0,31.0,4.0,22.0,30.0,2.0,23.0,27.0,6.0,13.0,18.0,7.0,13.0,17.0,28.0,0.7972972972972973,52.0,0.45945945945945943,58.0,0.45833333333333337,56.0,0.5441176470588236,52.0,0.4736842105263158,37.0,0.7560975609756098,37.0,0.6526315789473685
2022,292.621,42587.0,82241.0,107020.0,112932.0,82825.0,29134.0,11262.0,432950.0,18.0,43.0,62.0,71.0,76.0,77.0,77.0,342.0,842.0,1254.0,1449.0,1444.0,1068.0,1247.0,20401,42587.0,82241.0,107020.0,112932.0,82825.0,29134.0,11262.0,432950.0,342.0,842.0,1254.0,1449.0,1444.0,1068.0,1247.0,47.90429004156198,10.166247916030713,24.806361790347882,5.264405831641152,19.062792001495048,4.0455055129882265,18.064853185988028,3.8337229483228845,24.631451856323576,5.227286447328705,70.02471339328619,14.860643921191734,181.14899662582135,38.44343811045995,3.0,15.0,22.0,3.0,22.0,33.0,1.0,21.0,32.0,2.0,21.0,32.0,3.0,22.0,33.0,5.0,8.0,20.0,1.0,1.0,2.0,40.0,0.6351351351351351,58.0,0.3783783783783784,54.0,0.5416666666666667,55.0,0.5588235294117647,58.0,0.368421052631579,33.0,0.8048780487804879,4.0,1.0
